hostname,os,environment,country,node
LPIRL001,Linux,Production,Ireland,001
ATITA001,AIX,Testing,Italy,001
STDEU001,Solaris,Testing,Germany,001
ADITA001,AIX,Development,Italy,001
HDFRA001,HP-UX,Development,France,001
LDFRA001,Linux,Development,France,001
APNOR001,AIX,Production,Norway,001
LDFRA002,Linux,Development,France,002
SSIRL001,Solaris,Staging,Ireland,001
LDFRA003,Linux,Development,France,003
SPESP001,Solaris,Production,Spain,001
LPIRL002,Linux,Production,Ireland,002
ATFRA001,AIX,Testing,France,001
LTDEU001,Linux,Testing,Germany,001
ASDEU001,AIX,Staging,Germany,001
APIRL001,AIX,Production,Ireland,001
APITA001,AIX,Production,Italy,001
LIESP001,Linux,Integration,Spain,001
LTITA001,Linux,Testing,Italy,001
AIDEU001,AIX,Integration,Germany,001
LSIRL001,Linux,Staging,Ireland,001
SDFRA001,Solaris,Development,France,001
ASDEU002,AIX,Staging,Germany,002
ASESP001,AIX,Staging,Spain,001
SSIRL002,Solaris,Staging,Ireland,002
LTITA002,Linux,Testing,Italy,002
SPDEU001,Solaris,Production,Germany,001
LTITA003,Linux,Testing,Italy,003
LIITA001,Linux,Integration,Italy,001
ATITA002,AIX,Testing,Italy,002
LSITA001,Linux,Staging,Italy,001
ADDEU001,AIX,Development,Germany,001
STDEU002,Solaris,Testing,Germany,002
SIESP001,Solaris,Integration,Spain,001
HPITA001,HP-UX,Production,Italy,001
SSESP001,Solaris,Staging,Spain,001
LTITA004,Linux,Testing,Italy,004
LPITA001,Linux,Production,Italy,001
ASITA001,AIX,Staging,Italy,001
SPESP002,Solaris,Production,Spain,002
LSIRL002,Linux,Staging,Ireland,002
STESP001,Solaris,Testing,Spain,001
SPITA001,Solaris,Production,Italy,001
SPESP003,Solaris,Production,Spain,003
ASNOR001,AIX,Staging,Norway,001
LPIRL003,Linux,Production,Ireland,003
APITA002,AIX,Production,Italy,002
SPDEU002,Solaris,Production,Germany,002
STFRA001,Solaris,Testing,France,001
SDESP001,Solaris,Development,Spain,001
LPESP001,Linux,Production,Spain,001
APESP001,AIX,Production,Spain,001
HTIRL001,HP-UX,Testing,Ireland,001
LSIRL003,Linux,Staging,Ireland,003
APIRL002,AIX,Production,Ireland,002
LPITA002,Linux,Production,Italy,002
SPDEU003,Solaris,Production,Germany,003
STESP002,Solaris,Testing,Spain,002
HIESP001,HP-UX,Integration,Spain,001
LPIRL004,Linux,Production,Ireland,004
SPITA002,Solaris,Production,Italy,002
LIDEU001,Linux,Integration,Germany,001
SPNOR001,Solaris,Production,Norway,001
STDEU003,Solaris,Testing,Germany,003
